        1920          40  1.00000000000000002E-002   1.6000000000000001       0.52000000000000002       2.00000000000000004E-002          80          25  2.00000000000000004E-002   0.0000000000000000                1
  1.00000000000000005E-004   200000.00000000000        7860.0000000000000       -9.8665000000000003        3.0506000000000002        4.3372000000000002        5.0000000000000000       0.50000000000000000       0.50000000000000000       0.39261187660046115     
   312.50000000000000        0.0000000000000000       -1.0000000000000000        500.00000000000000        163.50000000000000     
           1  0.36651914291999999     
  1.59608225119486809E-002  2.84998665216656052E-002 -1.57976744359633603E-005 -1.33207936004603456E-003  2.23433858200939861E-002
  8.78778195381164570E-003 -0.22207253236376456      -9.63294357349264718E-002  6.90188185996841519E-007
  8.79561877250671469E-003  0.70613355838058822      -5.12091432647299172E-003  6.93271179770600878E-007
  0.25182526153306883       2.77287007954619066E-002  2.32233526853420358E-005 -3.16592228995216107E-005  2.33069336822107308E-002
  8.91233134269714400E-003   1.2448658549121538       5.25505659876301934E-003  7.40504633626422387E-007
  0.27019895170141017       2.72874884146764550E-002 -4.14692502559432796E-006  1.19360318850958436E-005  2.51283322776161971E-002
  9.13869464397430546E-003   1.0822270250648638       4.97940072619051932E-003  8.39444503999965521E-007
  0.30714090178135578       2.79184087640935025E-002 -2.69672556507671857E-005  2.36121931035393473E-006  2.27439280337468214E-002
  8.83998310565948554E-003  0.32137717114719300       4.08345345870309018E-004  7.10932443652985212E-007
  0.32439591427818165       2.42158384707722822E-002  1.58090820989720271E-005  3.33588558686093162E-005  2.25029338950324849E-002
  8.80864942073822030E-003 -0.60599057979320692      -3.73419592469836914E-004  6.98421800628076672E-007
  0.34307440711207726       2.87699465287544545E-002  5.59942428535187275E-005  9.82448195713248040E-006  2.37676763623136666E-002
  8.97067630290985206E-003 -0.18541561091342382      -2.63158470029112301E-003  7.65062804847549164E-007
  0.36000001241574275       2.06870944162133794E-002 -1.84696565541653257E-004  2.00474911601911110E-004  2.22430746276567753E-002
  8.77461123466491758E-003   1.5376086117512016      -2.13792370140630794E-003  6.85031556343946113E-007
  0.37885538094963578       2.90776278096152689E-002  6.02147331996150115E-005  1.73678336469473837E-005  2.52129435813413343E-002
  9.14894032478332647E-003 -0.83808135676835205      -3.34148931135924698E-003  8.44160706590069915E-007
  0.39914988387356437       2.15338131777694959E-002  4.89398080394387591E-005 -5.00168036328407783E-005  2.25766869761105972E-002
  8.81826233863830695E-003   1.2245538051987628      -2.78736709380389414E-003  7.02241081463893552E-007
